cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num,shannon_entropy
0.0150015,0.023807,0.0,0.6301297937581384,0.3698702062418616,snapshot_128.xyz,64,4000,16.796962,4000,all,128,7.6328050437469885
0.0151289,0.0238182,0.0,0.635182339555466,0.364817660444534,snapshot_129.xyz,64,4000,16.796962,4000,all,129,7.63581892861291
0.0149319,0.0236719,0.0,0.6307858684769706,0.3692141315230294,snapshot_130.xyz,64,4000,16.796962,4000,all,130,7.630417038341802
0.0155339,0.0241669,0.0,0.6427758628537379,0.3572241371462621,snapshot_131.xyz,64,4000,16.796962,4000,all,131,7.643845639539945
0.0155571,0.0241669,0.0,0.643735853584862,0.356264146415138,snapshot_132.xyz,64,4000,16.796962,4000,all,132,7.638280628965289
0.015291,0.0239645,0.0,0.6380688101149617,0.3619311898850382,snapshot_133.xyz,64,4000,16.796962,4000,all,133,7.6402267816189156
0.0153141,0.0236269,0.0,0.6481637455612036,0.3518362544387964,snapshot_134.xyz,64,4000,16.796962,4000,all,134,7.621734654798748
0.0155224,0.0241781,0.0,0.6420024733126258,0.3579975266873741,snapshot_135.xyz,64,4000,16.796962,4000,all,135,7.6369585908456
0.0156842,0.0240769,0.0,0.6514210716495894,0.3485789283504106,snapshot_136.xyz,64,4000,16.796962,4000,all,136,7.634819706431562
0.0159152,0.0242118,0.0,0.657332375122874,0.342667624877126,snapshot_137.xyz,64,4000,16.796962,4000,all,137,7.636817654897191
0.0159152,0.0238632,0.0,0.6669348620470013,0.3330651379529987,snapshot_138.xyz,64,4000,16.796962,4000,all,138,7.637560104847075
0.015869,0.0240657,0.0,0.6594032170267228,0.3405967829732772,snapshot_139.xyz,64,4000,16.796962,4000,all,139,7.639739833360647
0.0161575,0.0239307,0.0,0.6751787452937024,0.3248212547062976,snapshot_140.xyz,64,4000,16.796962,4000,all,140,7.637507495214506
0.015869,0.0241331,0.0,0.657561606258624,0.3424383937413759,snapshot_141.xyz,64,4000,16.796962,4000,all,141,7.640214356022331
0.0162498,0.0241444,0.0,0.6730256291313927,0.3269743708686072,snapshot_142.xyz,64,4000,16.796962,4000,all,142,7.643850765313181
0.0158459,0.0242343,0.0,0.6538625006705372,0.3461374993294628,snapshot_143.xyz,64,4000,16.796962,4000,all,143,7.639532804456609
0.0162383,0.0241106,0.0,0.6734921569765996,0.3265078430234004,snapshot_144.xyz,64,4000,16.796962,4000,all,144,7.629346774274463
0.0161229,0.0238745,0.0,0.6753188548451277,0.3246811451548723,snapshot_145.xyz,64,4000,16.796962,4000,all,145,7.623688669926866
0.0163651,0.0239307,0.0,0.6838537944982805,0.3161462055017194,snapshot_146.xyz,64,4000,16.796962,4000,all,146,7.633406470778926
0.0164918,0.0239307,0.0,0.6891482489020381,0.3108517510979619,snapshot_147.xyz,64,4000,16.796962,4000,all,147,7.633464876972696
0.0167566,0.0239307,0.0,0.7002135332439084,0.2997864667560915,snapshot_148.xyz,64,4000,16.796962,4000,all,148,7.630818723806804
0.0165379,0.0241219,0.0,0.6855969057163822,0.3144030942836178,snapshot_149.xyz,64,4000,16.796962,4000,all,149,7.6424307066763095
0.0163766,0.0242006,0.0,0.6767022305232102,0.3232977694767898,snapshot_150.xyz,64,4000,16.796962,4000,all,150,7.640407625094067
0.0163881,0.0237507,0.0,0.690004926170597,0.3099950738294029,snapshot_151.xyz,64,4000,16.796962,4000,all,151,7.639786170630951
0.016653,0.0238632,0.0,0.6978527607361963,0.3021472392638037,snapshot_152.xyz,64,4000,16.796962,4000,all,152,7.636999029780387
0.0170786,0.0242568,0.0,0.7040747336829261,0.2959252663170739,snapshot_153.xyz,64,4000,16.796962,4000,all,153,7.647055692884256
0.0169407,0.024268,0.0,0.6980674138783582,0.3019325861216417,snapshot_154.xyz,64,4000,16.796962,4000,all,154,7.639943655657477
0.0169637,0.0240769,0.0,0.7045632951085897,0.2954367048914103,snapshot_155.xyz,64,4000,16.796962,4000,all,155,7.632182810293288
0.0167911,0.0240319,0.0,0.698700477282279,0.301299522717721,snapshot_156.xyz,64,4000,16.796962,4000,all,156,7.63876491598262
0.0169062,0.023897,0.0,0.7074611875967695,0.2925388124032305,snapshot_157.xyz,64,4000,16.796962,4000,all,157,7.635412237019022
